customerID,future_12_month_revenue_if_retained
7590-VHVEG,358.20000000000005
5575-GNVDE,683.4000000000001
3668-QPYBK,646.2
7795-CFOCW,507.59999999999997
9237-HQITU,848.4000000000001
9305-CDSKC,1195.8000000000002
1452-KIOVK,1069.1999999999998
6713-OKOMC,357.0
7892-POOKP,1257.6
6388-TABGU,673.8
9763-GRSKD,599.4000000000001
7469-LKBCI,227.39999999999998
8091-TTVAX,1204.1999999999998
0280-XJGEX,1244.4
5129-JLPIS,1266.0
3655-SNQYZ,1359.0
8191-XWSZG,247.79999999999998
9959-WOFKT,1280.4
4190-MFLUW,662.4000000000001
4183-MYFRB,1080.6
8779-QRDMV,475.79999999999995
1680-VDCWW,237.60000000000002
1066-JKSGK,241.79999999999998
3638-WEABW,718.8
6322-HRPFA,715.2
6865-JZNKO,663.5999999999999
6467-CHFZW,1192.1999999999998
8665-UTDHZ,362.4
5248-YGIJN,1083.0
8773-HHUOZ,776.4000000000001
3841-NFECX,1156.1999999999998
4929-XIHVW,1146.0
6827-IEAUQ,793.8000000000001
7310-EGVHZ,242.39999999999998
3413-BMNZE,543.0
6234-RAAPL,1198.8000000000002
6047-YHPVI,836.4000000000001
6572-ADKRS,897.5999999999999
5380-WJKOV,1276.1999999999998
8168-UQWWF,1174.1999999999998
8865-TNMNX,594.5999999999999
9489-DEDVP,830.4000000000001
9867-JCZSP,249.0
4671-VJLCL,958.1999999999999
4080-IIARD,914.4000000000001
3714-NTNFO,1014.0
5948-UJZLF,591.0
7760-OYPDY,967.8000000000001
7639-LIAYI,957.0
2954-PIBKO,769.8000000000001
8012-SOUDQ,1083.0
9420-LOJKX,1189.1999999999998
6575-SUVOI,834.0
7495-OOKFY,967.8000000000001
4667-QONEA,898.1999999999999
1658-BYGOY,1145.4
8769-KKTPH,1195.8000000000002
5067-XJQFU,1301.4
3957-SQXML,299.4
5954-BDFSG,1290.0
0434-CSFON,1206.0
1215-FIGMP,1078.8000000000002
0526-SXDJP,505.20000000000005
0557-ASKVU,652.8
5698-BQJOH,1132.8000000000002
5122-CYFXA,903.5999999999999
8627-ZYGSZ,946.8000000000001
3410-YOQBQ,950.4000000000001
3170-NMYVV,241.79999999999998
7410-OIEDU,958.1999999999999
2273-QCKXA,588.5999999999999
0731-EBJQB,244.79999999999998
1891-QRQSA,1339.1999999999998
8028-PNXHQ,291.0
5630-AHZIL,774.0
2673-CXQEU,1326.0
6416-JNVRK,667.8
5590-ZSKRV,655.8
0191-ZHSKZ,897.0
3887-PBQAO,310.79999999999995
5919-TMRGD,952.1999999999999
8108-UXRQN,606.5999999999999
9191-MYQKX,901.8000000000001
9919-YLNNG,1245.6
0318-ZOPWS,241.79999999999998
4445-ZJNMU,1191.6
4808-YNLEU,745.8
1862-QRWPE,247.79999999999998
2796-NNUFI,239.39999999999998
3016-KSVCP,405.0
4767-HZZHQ,984.5999999999999
2424-WVHPL,896.4000000000001
7233-PAHHL,1008.0
6067-NGCEU,1332.6
9848-JQJTX,1210.8000000000002
8637-XJIVR,947.4000000000001
9803-FTJCG,802.1999999999999
0278-YXOOG,252.60000000000002
3212-KXOCR,252.0
4598-XLKNJ,1182.0
6380-ARCEH,242.39999999999998
3679-XASPY,233.39999999999998
7123-WQUHX,1140.0
5386-THSLQ,546.5999999999999
3192-NQECA,1320.0
6180-YBIQI,291.6
6728-DKUCO,1249.8000000000002
9750-BOOHV,361.79999999999995
8597-CWYHH,1132.1999999999998
2848-YXSMW,232.79999999999998
0486-HECZI,1161.0
4549-ZDQYY,695.4000000000001
5712-AHQNN,1099.8000000000002
4846-WHAFZ,918.0
5256-SKJGO,655.2
3071-VBYPO,1078.1999999999998
9560-BBZXK,372.6
5299-RULOA,1203.0
8402-OOOHJ,247.79999999999998
9445-ZUEQE,1022.4000000000001
1091-SOZGA,1197.6
2928-HLDBA,248.39999999999998
0404-SWRVG,892.8000000000001
6497-TILVL,608.4000000000001
7219-TLZHO,250.20000000000002
4622-YNKIJ,1067.4
4412-YLTKF,936.5999999999999
6734-PSBAW,282.6
3930-ZGWVE,237.0
2639-UGMAZ,677.4000000000001
2876-GZYZC,1031.4
6207-WIOLX,703.2
8587-XYZSF,606.5999999999999
3091-FYHKI,425.40000000000003
2372-HWUHI,532.2
7799-LGRDP,308.4
7850-VWJUU,900.0
3774-VBNXY,242.39999999999998
6217-KDYWC,235.20000000000002
0390-DCFDQ,845.4000000000001
3146-MSEGF,1056.6
4080-OGPJL,853.8000000000001
1095-WGNGG,1212.6
2636-SJDOU,1011.5999999999999
1131-QQZEB,287.4
5716-EZXZN,1188.6
6837-BJYDQ,235.20000000000002
2135-RXIHG,547.8
6440-DKQGE,774.0
3466-BYAVD,834.0
3780-YVMFA,822.5999999999999
3874-EQOEP,1140.0
1679-JRFBR,1297.8000000000002
9073-ZZIAY,1033.1999999999998
3077-RSNTJ,236.39999999999998
6551-GNYDG,970.8000000000001
9167-APMXZ,1009.8000000000001
2749-CTKAJ,241.79999999999998
6371-NZYEG,771.0
7554-NEWDD,308.4
8992-VONJD,672.0
0867-MKZVY,988.8000000000001
4482-EWFMI,836.4000000000001
4648-YPBTM,886.8000000000001
2907-ILJBN,247.20000000000002
6345-FZOQH,238.79999999999998
3376-BMGFE,850.8000000000001
5997-OPVFA,1068.6
3445-HXXGF,543.5999999999999
1159-WFSGR,244.79999999999998
7654-YWJUF,1011.0
1875-QIVME,1252.8000000000002
6727-IOTLZ,983.4000000000001
0691-JVSYA,1138.1999999999998
5918-VUKWP,246.60000000000002
1744-JHKYS,296.4
2656-FMOKZ,893.4000000000001
2070-FNEXE,917.4000000000001
5947-SGKCL,1264.1999999999998
3712-PKXZA,246.60000000000002
6317-YPKDH,359.4
6582-OIVSP,543.5999999999999
9367-WXLCH,1014.0
5524-KHNJP,897.0
1918-ZBFQJ,951.0
1024-GUALD,297.6
4827-USJHP,621.5999999999999
8167-GJLRN,364.79999999999995
0956-SYCWG,235.79999999999998
8017-UVSZU,679.2
